REC,BPM,Reliability,SNR,SIR,Accuracy,Se,PPV,F1
a01,153.11,0.5878,-8.42,-21.61,69.94,83.45,81.21,82.31
a02,139.57,0.3937,-13.40,-25.59,16.13,25.00,31.25,27.78
a03,139.53,0.7612,-4.16,-10.39,86.52,95.31,90.37,92.78
a04,131.10,0.9535,1.73,-5.63,99.23,100.00,99.23,99.61
a05,129.01,0.9844,-1.04,-5.17,100.00,100.00,100.00,100.00
a06,157.27,0.1955,-15.58,-27.91,19.03,29.38,35.07,31.97
a07,136.33,0.1600,-16.91,-25.27,11.59,18.46,23.76,20.78
a08,130.94,0.7937,-4.53,-4.42,78.32,87.50,88.19,87.84
a09,141.15,0.2437,-10.18,-25.20,11.61,20.00,21.67,20.80
a10,162.69,0.2230,-14.19,-26.44,35.00,48.00,56.38,51.85
a11,149.81,0.1721,-14.40,-26.90,13.85,22.86,26.02,24.33
a12,137.90,0.9562,-2.39,-9.35,97.14,98.55,98.55,98.55
a13,126.10,0.9680,-4.38,-15.07,96.88,98.41,98.41,98.41
a14,135.20,0.7769,-5.90,-9.99,76.39,89.43,83.97,86.61
a15,132.36,0.6508,-6.61,-4.42,76.35,84.33,88.98,86.59
a16,138.72,0.1589,-16.26,-26.11,12.80,20.77,25.00,22.69
a17,140.71,0.5227,-5.84,-4.02,59.64,75.00,74.44,74.72
a18,150.12,0.3053,-12.91,-26.33,12.80,21.33,24.24,22.70
a19,140.04,0.5076,-9.94,-16.21,63.52,79.53,75.94,77.69
a20,136.03,0.9242,-4.12,-14.02,92.70,96.95,95.49,96.21
a21,159.11,0.2466,-13.15,-24.72,23.73,38.62,38.10,38.36
a22,125.34,1.0000,-0.12,-5.10,100.00,100.00,100.00,100.00
a23,128.06,0.9762,-4.56,-13.28,97.66,99.21,98.43,98.81
a24,122.90,0.9752,-2.17,-13.56,97.58,98.37,99.18,98.78
a25,124.82,0.9593,-3.30,-12.43,96.06,97.60,98.39,97.99
